ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,1024,2049,0.049388,0.014548,0.034840,0.003713,0.000358,0.029142,0.001626,1,3,NVIDIA GeForce RTX 3090
128,2048,4097,0.084619,0.023609,0.061010,0.004208,0.000329,0.053899,0.002574,1,0,NVIDIA GeForce RTX 3090
128,2048,4097,0.118627,0.038986,0.079641,0.004407,0.000407,0.070665,0.004163,1,1,NVIDIA GeForce RTX 3090
128,2048,4097,0.078484,0.023552,0.054932,0.003598,0.000328,0.048484,0.002522,1,2,NVIDIA GeForce RTX 3090
128,2048,4097,0.086891,0.025043,0.061848,0.003735,0.000354,0.055031,0.002728,1,3,NVIDIA GeForce RTX 3090
128,4096,8193,0.161892,0.051229,0.110663,0.003895,0.000358,0.100986,0.005424,1,0,NVIDIA GeForce RTX 3090
128,4096,8193,0.252963,0.089823,0.163140,0.004453,0.000459,0.148552,0.009676,1,1,NVIDIA GeForce RTX 3090
128,4096,8193,0.171632,0.061813,0.109819,0.004024,0.000397,0.098883,0.006515,1,2,NVIDIA GeForce RTX 3090
128,4096,8193,0.186946,0.063887,0.123059,0.004057,0.000413,0.111742,0.006847,1,3,NVIDIA GeForce RTX 3090
128,8192,16385,0.353937,0.109512,0.244425,0.004603,0.000420,0.226422,0.012980,1,0,NVIDIA GeForce RTX 3090
128,8192,16385,0.540368,0.169109,0.371259,0.005160,0.000508,0.345433,0.020158,1,1,NVIDIA GeForce RTX 3090
128,8192,16385,0.348418,0.107233,0.241185,0.004549,0.000419,0.223352,0.012865,1,2,NVIDIA GeForce RTX 3090
128,8192,16385,0.342075,0.110009,0.232066,0.004706,0.000459,0.213450,0.013452,1,3,NVIDIA GeForce RTX 3090
128,16384,32769,0.731929,0.231356,0.500573,0.005006,0.000470,0.460319,0.034777,1,0,NVIDIA GeForce RTX 3090
128,16384,32769,1.136105,0.359065,0.777040,0.005565,0.000556,0.718741,0.052178,1,1,NVIDIA GeForce RTX 3090
128,16384,32769,0.681261,0.188167,0.493094,0.004794,0.000436,0.459930,0.027934,1,2,NVIDIA GeForce RTX 3090
128,16384,32769,0.788739,0.240107,0.548632,0.005192,0.000506,0.508200,0.034733,1,3,NVIDIA GeForce RTX 3090
128,32768,65537,1.558963,0.502157,1.056806,0.005578,0.000613,0.968694,0.081921,1,0,NVIDIA GeForce RTX 3090
128,32768,65537,2.430674,0.828144,1.602530,0.006418,0.000762,1.457831,0.137520,1,1,NVIDIA GeForce RTX 3090
128,32768,65537,1.567802,0.488665,1.079137,0.005502,0.000614,0.991395,0.081626,1,2,NVIDIA GeForce RTX 3090
128,32768,65537,1.597844,0.499713,1.098131,0.005952,0.000651,1.009014,0.082514,1,3,NVIDIA GeForce RTX 3090
128,65536,131073,3.070389,0.859404,2.210985,0.006381,0.000854,2.020499,0.183252,1,0,NVIDIA GeForce RTX 3090
128,65536,131073,5.033934,1.495236,3.538698,0.007185,0.001048,3.217137,0.313328,1,1,NVIDIA GeForce RTX 3090
128,65536,131073,3.372171,1.040439,2.331732,0.006621,0.000887,2.112313,0.211911,1,2,NVIDIA GeForce RTX 3090
128,65536,131073,3.812251,1.054784,2.757468,0.007065,0.000944,2.531293,0.218166,1,3,NVIDIA GeForce RTX 3090
128,131072,262145,6.580620,1.895997,4.684623,0.008077,0.001359,4.206186,0.469001,1,0,NVIDIA GeForce RTX 3090
128,131072,262145,11.235409,3.202192,8.033216,0.010528,0.001636,7.286845,0.734208,1,1,NVIDIA GeForce RTX 3090
128,131072,262145,6.548264,1.838096,4.710168,0.009259,0.001354,4.224760,0.474796,1,2,NVIDIA GeForce RTX 3090
128,131072,262145,7.196318,2.188134,5.008184,0.009042,0.001495,4.470630,0.527017,1,3,NVIDIA GeForce RTX 3090
128,262144,524289,14.786041,4.063590,10.722451,0.014767,0.002400,9.388128,1.317155,1,0,NVIDIA GeForce RTX 3090
128,262144,524289,24.540226,6.707417,17.832809,0.015574,0.002800,15.923663,1.890772,1,1,NVIDIA GeForce RTX 3090
128,262144,524289,15.482047,3.982332,11.499715,0.012522,0.002363,10.173656,1.311174,1,2,NVIDIA GeForce RTX 3090
128,262144,524289,16.303570,4.587547,11.716022,0.016752,0.002594,10.229862,1.466815,1,3,NVIDIA GeForce RTX 3090
128,524288,1048577,32.604118,8.556164,24.047955,0.018052,0.004706,19.694061,4.331134,1,0,NVIDIA GeForce RTX 3090
128,524288,1048577,58.194145,15.226833,42.967312,0.031834,0.005529,36.945339,5.984608,1,1,NVIDIA GeForce RTX 3090
128,524288,1048577,33.185425,8.434055,24.751369,0.017743,0.004708,20.382792,4.346126,1,2,NVIDIA GeForce RTX 3090
128,524288,1048577,35.287228,9.393133,25.894094,0.019390,0.004916,21.102385,4.767405,1,3,NVIDIA GeForce RTX 3090
128,1048576,2097153,97.618233,18.121101,79.497131,0.024415,0.009266,64.056419,15.407030,1,0,NVIDIA GeForce RTX 3090
128,1048576,2097153,131.084549,33.888435,97.196114,0.033147,0.011399,76.953842,20.197723,1,1,NVIDIA GeForce RTX 3090
128,1048576,2097153,96.810867,17.929794,78.881073,0.033798,0.009230,63.537315,15.300733,1,2,NVIDIA GeForce RTX 3090
128,1048576,2097153,78.961754,17.264610,61.697144,0.038156,0.009587,45.471348,16.178049,1,3,NVIDIA GeForce RTX 3090
128,4,9,0.004080,0.000310,0.003770,0.002654,0.000106,0.000959,0.000051,2,0,NVIDIA GeForce RTX 3090
128,4,9,0.004050,0.000312,0.003738,0.002776,0.000110,0.000798,0.000053,2,1,NVIDIA GeForce RTX 3090
128,4,9,0.003849,0.000302,0.003547,0.002716,0.000125,0.000655,0.000052,2,2,NVIDIA GeForce RTX 3090
128,4,9,0.004137,0.000380,0.003757,0.002942,0.000136,0.000605,0.000074,2,3,NVIDIA GeForce RTX 3090
128,8,17,0.005237,0.000419,0.004818,0.002903,0.000136,0.001711,0.000068,2,0,NVIDIA GeForce RTX 3090
128,8,17,0.005236,0.000423,0.004813,0.002963,0.000143,0.001640,0.000066,2,1,NVIDIA GeForce RTX 3090
128,8,17,0.005561,0.000520,0.005041,0.003104,0.000160,0.001694,0.000083,2,2,NVIDIA GeForce RTX 3090
128,8,17,0.004955,0.000424,0.004531,0.002943,0.000130,0.001391,0.000068,2,3,NVIDIA GeForce RTX 3090
128,16,33,0.005917,0.000617,0.005300,0.003014,0.000162,0.002037,0.000087,2,0,NVIDIA GeForce RTX 3090
128,16,33,0.006574,-0.005319,0.011893,0.009483,0.000177,0.002134,0.000098,2,1,NVIDIA GeForce RTX 3090
128,16,33,0.006325,0.000721,0.005604,0.003150,0.000184,0.002166,0.000103,2,2,NVIDIA GeForce RTX 3090
128,16,33,0.005836,0.000718,0.005118,0.003016,0.000158,0.001859,0.000085,2,3,NVIDIA GeForce RTX 3090
128,32,65,0.007742,0.000854,0.006888,0.003436,0.000192,0.003148,0.000112,2,0,NVIDIA GeForce RTX 3090
128,32,65,0.007661,0.001008,0.006653,0.003251,0.000204,0.003071,0.000128,2,1,NVIDIA GeForce RTX 3090
128,32,65,0.007339,-0.006260,0.013599,0.010570,0.000181,0.002734,0.000115,2,2,NVIDIA GeForce RTX 3090
128,32,65,0.006996,0.001069,0.005927,0.003089,0.000178,0.002550,0.000109,2,3,NVIDIA GeForce RTX 3090
128,64,129,0.008429,0.001187,0.007242,0.003317,0.000208,0.003563,0.000154,2,0,NVIDIA GeForce RTX 3090
128,64,129,0.009337,0.001168,0.008169,0.003260,0.000210,0.004547,0.000153,2,1,NVIDIA GeForce RTX 3090
128,64,129,0.009021,0.001191,0.007830,0.003191,0.000204,0.004279,0.000157,2,2,NVIDIA GeForce RTX 3090
128,64,129,0.008571,0.001170,0.007401,0.003330,0.000210,0.003713,0.000148,2,3,NVIDIA GeForce RTX 3090
