ntpb,npts,nTriMax,totalRuntime,totalCPUTime,totalGPUTime,prepForInsertTimeTot,insertTimeTot,flipTimeTot,updatePtsTimeTot,seed,distribution,deviceName
128,262144,524289,31.396273,4.814720,26.581553,0.014774,0.003986,10.629723,15.933069,0,2,NVIDIA GeForce RTX 3090
128,262144,524289,32.058842,4.580908,27.477934,0.015502,0.004156,10.623527,16.834749,0,3,NVIDIA GeForce RTX 3090
128,524288,1048577,89.728706,8.795036,80.933670,0.019649,0.008363,21.498882,59.406780,0,0,NVIDIA GeForce RTX 3090
128,524288,1048577,116.746269,14.969902,101.776367,0.021846,0.010072,34.646469,67.097977,0,1,NVIDIA GeForce RTX 3090
128,524288,1048577,90.893997,10.136620,80.757378,0.018139,0.008716,20.148943,60.581581,0,2,NVIDIA GeForce RTX 3090
128,524288,1048577,96.974403,9.679100,87.295303,0.023198,0.009113,22.930584,64.332405,0,3,NVIDIA GeForce RTX 3090
128,1048576,2097153,292.751465,18.682068,274.069397,0.033437,0.017017,44.693836,229.325104,0,0,NVIDIA GeForce RTX 3090
128,1048576,2097153,386.966766,37.129120,349.837646,0.045567,0.021783,87.607056,262.163239,0,1,NVIDIA GeForce RTX 3090
128,1048576,2097153,295.010620,18.927277,276.083344,0.035630,0.017178,44.681438,231.349091,0,2,NVIDIA GeForce RTX 3090
128,1048576,2097153,315.231842,17.607269,297.624573,0.045038,0.017890,48.586987,248.974655,0,3,NVIDIA GeForce RTX 3090
128,4,9,0.004046,0.000311,0.003735,0.002748,0.000115,0.000816,0.000056,1,0,NVIDIA GeForce RTX 3090
128,4,9,0.004056,0.000312,0.003744,0.002770,0.000116,0.000801,0.000057,1,1,NVIDIA GeForce RTX 3090
128,4,9,0.004192,-0.003180,0.007372,0.006438,0.000115,0.000766,0.000053,1,2,NVIDIA GeForce RTX 3090
128,4,9,0.004465,0.000381,0.004084,0.002962,0.000136,0.000917,0.000069,1,3,NVIDIA GeForce RTX 3090
128,8,17,0.005532,0.001150,0.004382,0.002960,0.000153,0.001181,0.000089,1,0,NVIDIA GeForce RTX 3090
128,8,17,0.005535,0.000711,0.004824,0.002984,0.000156,0.001595,0.000090,1,1,NVIDIA GeForce RTX 3090
128,8,17,0.005079,0.000685,0.004394,0.002949,0.000160,0.001195,0.000090,1,2,NVIDIA GeForce RTX 3090
128,8,17,0.005102,0.000520,0.004582,0.002842,0.000159,0.001492,0.000088,1,3,NVIDIA GeForce RTX 3090
128,16,33,0.005793,0.000572,0.005221,0.002950,0.000171,0.001992,0.000107,1,0,NVIDIA GeForce RTX 3090
128,16,33,0.005305,0.000188,0.005117,0.003371,0.000151,0.001489,0.000106,1,1,NVIDIA GeForce RTX 3090
128,16,33,0.006315,-0.004173,0.010488,0.008038,0.000182,0.002144,0.000124,1,2,NVIDIA GeForce RTX 3090
128,16,33,0.006092,0.000691,0.005401,0.003034,0.000182,0.002056,0.000129,1,3,NVIDIA GeForce RTX 3090
128,32,65,0.007548,0.001255,0.006293,0.003147,0.000187,0.002801,0.000158,1,0,NVIDIA GeForce RTX 3090
128,32,65,0.007473,0.000831,0.006642,0.003094,0.000186,0.003199,0.000162,1,1,NVIDIA GeForce RTX 3090
128,32,65,0.006996,0.001111,0.005885,0.002975,0.000182,0.002571,0.000158,1,2,NVIDIA GeForce RTX 3090
128,32,65,0.006670,0.000859,0.005811,0.003124,0.000179,0.002349,0.000160,1,3,NVIDIA GeForce RTX 3090
128,64,129,0.008824,0.001204,0.007620,0.003012,0.000214,0.004112,0.000283,1,0,NVIDIA GeForce RTX 3090
128,64,129,0.009355,-0.004477,0.013832,0.008978,0.000217,0.004356,0.000280,1,1,NVIDIA GeForce RTX 3090
128,64,129,0.008423,0.001241,0.007182,0.003000,0.000208,0.003686,0.000288,1,2,NVIDIA GeForce RTX 3090
128,64,129,0.008483,0.001077,0.007406,0.003244,0.000207,0.003686,0.000269,1,3,NVIDIA GeForce RTX 3090
128,128,257,0.012763,0.002681,0.010082,0.003402,0.000261,0.005683,0.000736,1,0,NVIDIA GeForce RTX 3090
128,128,257,0.013356,0.002480,0.010876,0.003496,0.000258,0.006383,0.000739,1,1,NVIDIA GeForce RTX 3090
128,128,257,0.011319,0.002332,0.008987,0.003320,0.000227,0.004803,0.000637,1,2,NVIDIA GeForce RTX 3090
128,128,257,0.011649,0.002064,0.009585,0.003336,0.000229,0.005395,0.000625,1,3,NVIDIA GeForce RTX 3090
128,256,513,0.017522,0.004554,0.012968,0.003291,0.000271,0.007836,0.001570,1,0,NVIDIA GeForce RTX 3090
128,256,513,0.019171,0.004302,0.014869,0.003498,0.000283,0.009356,0.001732,1,1,NVIDIA GeForce RTX 3090
128,256,513,0.019064,0.004357,0.014707,0.003535,0.000281,0.009198,0.001694,1,2,NVIDIA GeForce RTX 3090
128,256,513,0.016817,0.003325,0.013492,0.003288,0.000260,0.008470,0.001474,1,3,NVIDIA GeForce RTX 3090
128,512,1025,0.028700,0.006987,0.021713,0.003612,0.000307,0.014436,0.003358,1,0,NVIDIA GeForce RTX 3090
128,512,1025,0.031337,0.007031,0.024306,0.003508,0.000302,0.017075,0.003421,1,1,NVIDIA GeForce RTX 3090
128,512,1025,0.029671,0.006906,0.022765,0.003562,0.000296,0.015428,0.003479,1,2,NVIDIA GeForce RTX 3090
